@relation KI_Test_sarcasm-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V

@attribute chars numeric
@attribute UPPERCASE numeric
@attribute LOWERCASE numeric
@attribute dot numeric
@attribute comma numeric
@attribute '?' numeric
@attribute ! numeric
@attribute '\'' numeric
@attribute ` numeric
@attribute amount_adjective.txt numeric
@attribute amount_adverb.txt numeric
@attribute amount_article.txt numeric
@attribute amount_comparative.txt numeric
@attribute amount_conjunction.txt numeric
@attribute amount_interjection.txt numeric
@attribute amount_nouns.txt numeric
@attribute amount_numeral.txt numeric
@attribute amount_superlative.txt numeric
@attribute amount_verbs.txt numeric
@attribute profanity_prob.txt numeric
@attribute class {ironisch,normal}

@data
193,8,138,3,2,0,0,1,0,0,1,5,0,0,0,12,0,0,6,0.009333,ironisch
553,7,423,7,2,0,2,1,0,9,17,11,0,5,0,18,0,0,13,0.008833,normal
165,4,121,3,0,0,0,0,0,3,4,4,0,2,0,6,0,0,7,0.021718,normal
749,27,541,7,4,0,1,4,0,12,6,17,0,6,0,32,1,0,30,0.101699,normal
2801,78,2045,28,15,0,1,20,18,41,29,46,3,14,0,141,5,2,75,0.012628,normal
644,32,431,6,12,0,0,3,0,11,7,23,0,7,0,20,8,0,21,0.005828,normal
723,25,522,5,8,0,1,4,0,9,11,11,1,8,0,29,1,0,24,0.102669,normal
1199,43,880,14,8,0,0,3,0,25,16,21,2,6,0,52,2,0,39,0.029476,normal
116,2,83,2,2,0,0,0,0,1,4,3,0,2,0,4,0,0,4,0.040983,normal
3821,286,2502,50,28,0,0,5,0,56,36,73,3,22,0,251,27,0,77,0.006958,normal
422,9,325,5,1,0,0,0,0,7,5,8,0,3,0,20,0,0,15,0.003137,normal
757,15,562,9,5,0,1,4,0,10,7,12,1,6,0,32,1,0,23,0.098825,normal
338,3,253,9,2,0,0,3,0,3,6,5,0,0,0,12,2,0,13,0.018099,ironisch
1721,42,1269,21,5,1,3,11,2,28,31,34,2,11,1,53,3,0,62,0.045011,normal
2749,92,2017,57,7,0,0,10,4,40,34,50,2,8,1,123,4,1,96,0.171255,ironisch
4519,80,3425,43,19,0,0,21,14,68,41,108,1,30,0,203,2,3,128,0.005423,ironisch
927,16,709,5,11,0,0,3,0,20,6,15,0,6,0,45,1,1,23,0.06176,normal
242,8,177,3,1,0,2,0,0,3,4,8,0,1,0,11,0,0,6,0.287755,normal
1808,40,1353,17,16,0,0,10,0,37,34,32,1,6,0,73,1,0,46,0.002164,normal
1150,17,867,11,12,1,0,7,0,21,19,13,0,3,0,41,0,1,37,0.087924,ironisch
141,3,104,1,1,0,1,0,0,2,2,3,0,0,0,2,0,0,8,0.006799,normal
817,18,613,7,4,0,2,7,4,6,7,12,0,5,0,33,0,0,29,0.008297,ironisch
5503,128,4020,56,43,0,6,31,14,76,81,95,1,42,0,234,19,2,189,0.006345,normal
74,2,52,2,0,0,0,0,0,1,1,1,0,0,0,2,0,0,3,0.050261,normal
691,57,441,6,7,2,5,6,0,13,5,14,3,5,0,33,2,0,32,0.077465,ironisch
149,5,108,3,0,0,0,3,0,4,4,0,1,1,0,1,0,1,9,0.015733,normal
570,435,0,6,3,0,0,0,0,0,0,0,0,0,0,97,1,0,10,0.114772,normal
874,3,670,1,49,0,0,0,0,11,3,3,0,0,0,55,0,0,14,0.306727,ironisch
430,11,308,5,3,0,0,4,0,10,8,4,1,6,0,18,1,0,10,0.084283,normal
385,5,283,4,1,0,1,0,0,8,8,9,0,6,0,11,0,1,12,0.311105,normal
743,18,529,10,6,0,0,7,4,12,12,11,0,8,0,23,0,0,28,0.004663,normal
1269,27,966,13,17,0,0,1,0,20,9,20,1,9,0,62,1,0,30,0.005526,normal
417,7,299,4,4,0,1,3,0,5,9,7,0,3,0,16,0,0,13,0.04686,normal
736,12,542,8,4,1,0,2,0,9,9,17,3,9,0,21,5,0,29,0.127141,ironisch
427,4,339,2,3,0,0,2,0,11,2,8,1,2,0,19,0,0,8,0.057659,normal
1790,50,1306,21,12,0,0,7,0,15,25,40,0,8,0,64,9,2,60,0.014936,normal
1992,88,1438,17,27,0,0,5,4,28,13,41,1,7,0,95,2,0,66,0.006696,normal
335,7,238,4,3,0,0,3,2,3,2,12,0,1,0,15,1,0,13,0.028185,ironisch
110,1,77,2,0,0,0,0,0,1,1,1,0,2,0,6,0,0,3,0.080541,normal
550,12,407,3,1,0,3,1,0,6,11,12,0,6,1,23,1,1,19,0.31449,ironisch
2122,33,1613,15,4,0,0,4,0,36,16,49,2,12,0,97,10,1,73,0.02037,normal
779,7,576,9,4,0,1,7,0,11,16,11,1,7,1,20,1,0,27,0.034256,normal
3043,108,2237,23,32,0,1,14,10,27,40,58,0,16,0,143,5,1,91,0.00397,normal
300,5,219,6,1,0,0,0,0,3,5,5,0,2,0,11,0,0,17,0.663876,normal
248,3,182,3,3,0,0,2,0,5,7,2,0,3,0,8,0,0,9,0.023168,normal
700,19,503,4,6,0,3,6,4,8,10,10,0,6,0,27,3,0,27,0.008894,normal
311,6,241,3,1,0,1,0,0,4,9,9,0,1,0,12,1,0,9,0.005128,normal
231,5,174,2,1,0,0,1,0,2,3,3,0,3,0,9,0,0,10,0.324719,ironisch
475,16,345,3,2,0,3,5,4,10,1,10,0,1,0,28,1,1,8,0.021435,ironisch
431,18,310,5,6,0,0,3,2,7,4,7,0,2,0,21,1,0,14,0.003646,normal
1417,34,1081,15,9,0,1,4,0,18,12,21,1,12,0,64,0,1,40,0.026169,ironisch
723,24,512,9,8,0,0,1,0,8,6,15,1,4,0,31,2,0,33,0.294373,ironisch
545,12,392,7,9,0,0,1,0,8,3,12,0,4,0,24,2,1,22,0.015678,normal
332,13,236,5,4,0,0,0,0,5,3,5,0,2,0,18,3,0,11,0.035483,normal
5660,162,4168,36,43,0,1,56,36,85,51,103,1,33,0,246,16,3,169,0.015122,normal
135,4,105,0,0,0,1,0,0,3,1,4,0,1,0,6,0,0,4,0.022787,normal
1117,25,817,15,6,1,0,3,0,24,11,25,2,8,0,48,2,0,33,0.015504,normal
240,7,171,4,1,0,0,1,0,0,2,3,0,2,0,13,0,0,13,0.63404,ironisch
487,8,364,4,4,0,1,3,0,10,5,6,0,3,0,18,1,2,15,0.004961,normal
413,16,307,3,3,0,0,0,0,7,1,10,0,2,0,18,0,0,14,0.23085,ironisch
3229,62,2397,33,32,2,0,33,22,66,41,47,1,26,1,130,1,2,82,0.004398,normal
760,35,529,7,10,2,1,4,0,7,11,18,0,2,1,40,3,0,28,0.049246,ironisch
1261,47,914,11,6,7,3,7,2,12,16,26,0,8,0,62,3,0,39,0.687568,ironisch
861,30,625,13,8,0,1,5,0,14,16,12,0,9,0,51,2,1,17,0.082739,normal
2106,37,1597,10,12,2,10,9,0,35,31,38,0,14,0,83,0,0,71,0.362506,ironisch
2788,60,2001,33,31,1,2,22,2,29,31,57,3,19,2,94,6,0,117,0.004558,normal
1232,38,931,14,2,0,1,4,0,14,20,28,1,12,0,49,1,1,38,0.022548,normal
1278,21,937,7,14,0,2,10,4,28,13,34,0,14,1,46,4,1,39,0.005371,normal
562,23,411,11,4,0,0,0,0,8,8,11,1,3,0,29,1,0,16,0.001536,normal
3750,133,2737,48,8,2,9,15,0,52,74,67,9,25,0,166,8,3,133,0.014704,ironisch
3298,81,2474,29,33,1,0,17,2,40,33,68,2,14,0,136,5,0,114,0.003205,normal
494,10,382,6,0,0,0,0,0,11,4,10,0,2,0,20,1,0,17,0.026029,normal
533,20,404,6,1,0,0,2,0,4,9,6,0,1,0,18,0,0,25,0.015406,ironisch
873,10,650,11,11,0,0,5,4,15,12,16,0,7,0,45,0,0,15,0.046964,normal
1040,19,779,7,8,2,4,4,0,16,10,19,1,9,0,48,0,1,36,0.010884,ironisch
415,17,291,3,3,0,2,1,0,2,4,5,0,2,0,22,3,0,14,0.039763,normal
679,17,511,6,6,0,0,1,0,10,8,14,1,5,0,32,2,0,21,0.025478,normal
3761,103,2739,41,34,0,0,22,2,71,51,74,2,22,0,169,5,2,111,0.000794,normal
533,12,382,7,8,0,0,4,0,7,9,13,2,6,0,20,0,1,23,0.076093,ironisch
614,11,467,6,3,0,0,3,0,7,6,14,0,4,0,35,4,2,14,0.005885,ironisch
1227,44,890,10,5,0,1,6,0,12,21,23,1,11,0,45,5,1,53,0.016937,normal
2869,95,2086,16,19,2,0,57,38,30,37,49,4,21,0,150,1,0,66,0.015223,ironisch
1240,45,905,13,13,1,1,8,0,13,13,24,1,7,1,58,0,0,42,0.005821,ironisch
303,0,228,6,2,0,0,1,0,4,3,3,1,2,0,11,1,0,10,0.057322,normal
350,9,237,18,4,0,0,3,2,4,7,2,0,0,0,17,4,0,11,0.072973,ironisch
752,41,524,17,8,0,3,1,0,15,9,14,1,3,0,38,2,1,21,0.008038,normal
275,6,210,4,1,0,0,1,0,5,2,5,1,3,0,8,0,0,9,0.912962,ironisch
1231,27,924,15,9,0,1,3,2,19,13,21,1,8,0,47,4,1,45,0.026908,normal
4365,138,3068,96,40,1,5,16,6,55,44,88,2,22,2,247,14,1,147,0.565699,ironisch
240,4,178,4,0,0,0,2,0,6,3,2,0,5,0,12,2,0,5,0.050824,normal
812,24,571,14,7,0,0,7,2,13,16,15,0,7,0,24,0,2,32,0.10975,normal
177,6,126,2,1,0,1,0,0,1,3,5,0,2,0,8,0,1,5,0.065154,normal
476,4,372,3,5,0,0,3,0,4,4,11,0,6,0,18,0,0,15,0.009727,ironisch
542,9,406,5,5,0,1,3,0,5,6,13,0,3,0,24,0,0,18,0.518613,normal
650,13,498,4,2,1,2,3,2,11,6,15,0,2,0,25,1,0,22,0.002331,ironisch
1965,100,1380,15,18,1,1,0,0,30,18,42,1,12,0,106,15,1,55,0.00245,normal
178,6,125,1,1,0,2,0,0,3,4,5,0,2,0,6,0,0,9,0.102003,normal
477,10,352,7,5,0,2,3,0,11,4,10,0,2,0,20,1,0,14,0.005865,normal
1282,31,932,18,11,0,1,11,2,13,17,22,0,8,0,62,0,1,51,0.18972,ironisch
770,22,560,14,9,0,0,2,0,13,18,12,0,6,2,26,1,0,27,0.345099,ironisch
642,0,498,7,5,0,0,0,0,12,8,17,0,8,0,28,0,1,21,0.004771,normal
854,19,620,4,8,0,7,7,2,18,11,13,1,3,0,29,5,1,28,0.045592,normal
396,11,294,3,0,0,1,1,0,6,5,11,0,3,0,16,1,1,14,0.018216,normal
835,41,589,6,14,0,4,3,0,10,6,15,0,5,0,40,0,0,32,0.004555,normal
251,9,176,3,1,0,0,6,4,2,0,4,0,0,0,17,0,0,7,0.347211,ironisch
64,1,44,1,1,0,0,1,0,2,1,2,1,1,0,2,1,0,2,0.011582,normal
2670,41,2025,20,38,0,0,6,0,44,27,46,2,30,0,130,1,3,72,0.003384,normal
4076,79,3049,44,29,3,0,19,4,45,60,73,4,17,2,147,9,0,152,0.37148,ironisch
1057,29,762,11,1,3,0,16,14,17,10,20,0,4,1,47,3,3,32,0.659249,ironisch
1238,32,857,16,11,0,0,5,0,24,19,16,0,10,1,38,13,0,43,0.019627,normal
289,16,191,5,1,0,0,0,0,6,3,6,0,4,0,12,5,0,11,0.018943,normal
313,8,222,5,3,0,3,0,0,2,5,7,0,0,0,12,1,0,13,0.028416,normal
1055,47,709,15,14,0,0,8,0,16,26,19,0,5,0,45,11,0,31,0.013678,normal
859,17,658,14,4,0,0,1,0,20,6,20,0,1,0,37,2,1,22,0.066731,ironisch
2226,32,1738,18,21,0,0,5,0,37,18,48,1,10,0,95,5,2,55,0.004054,normal
529,39,317,14,7,0,6,7,0,5,10,13,0,3,0,22,6,0,25,0.171409,normal
1316,32,946,15,11,1,3,5,0,14,21,18,0,14,0,40,1,0,57,0.192323,normal
207,8,146,5,0,1,0,3,0,2,1,5,0,0,0,9,0,0,7,0.013814,ironisch
1068,13,829,11,11,0,0,2,0,20,8,29,1,4,0,46,1,2,33,0.095298,ironisch
1023,49,721,9,15,0,0,8,4,22,15,11,1,4,0,44,2,0,30,0.780764,ironisch
1003,36,714,7,12,0,7,4,0,21,15,15,1,9,0,38,1,0,37,0.019559,normal
174,3,129,3,2,0,0,1,0,1,5,4,0,0,0,5,0,0,6,0.028244,ironisch
1551,35,1157,16,11,0,1,8,6,23,12,36,1,12,0,74,2,0,42,0.03501,normal
6895,187,5137,67,69,2,0,25,12,89,69,141,4,52,0,322,9,4,228,0.016099,ironisch
1075,9,859,7,5,0,0,0,0,17,6,18,0,9,0,39,0,0,33,0.007948,ironisch
721,10,545,6,9,0,0,4,0,12,4,16,1,5,0,33,1,0,16,0.024488,ironisch
181,3,139,1,0,0,0,1,0,1,3,6,0,1,0,9,0,0,7,0.043946,ironisch
543,12,403,6,4,0,0,3,0,10,7,17,1,5,0,18,0,0,20,0.012946,normal
1116,45,776,11,16,0,1,2,0,16,11,21,1,17,0,67,1,2,31,0.035317,normal
1973,39,1473,18,10,0,0,23,2,32,26,34,3,14,1,69,3,0,74,0.001687,normal
1402,56,1003,16,9,0,2,5,0,16,32,31,1,11,0,59,2,2,45,0.005275,normal
2692,70,2008,14,26,0,0,30,12,47,22,44,2,13,0,131,3,1,62,0.00026,normal
966,35,701,12,4,0,0,5,0,17,8,25,0,9,0,45,0,2,31,0.015794,normal
1447,50,1040,21,8,4,0,12,4,17,15,31,0,11,1,67,2,1,50,0.002288,ironisch
2865,99,2084,21,35,4,0,14,0,47,32,38,1,32,0,135,2,1,80,0.002596,normal
640,19,453,12,5,0,0,0,0,7,5,14,1,8,0,29,7,0,21,0.022866,normal
771,29,564,10,3,0,1,3,0,10,8,13,0,5,0,33,1,3,35,0.005967,normal
977,20,726,23,7,0,0,8,2,10,13,19,0,5,0,39,0,1,37,0.008731,normal
1060,33,765,6,13,4,5,5,0,8,10,25,1,6,0,41,5,0,40,0.005358,ironisch
223,3,171,2,1,0,1,0,0,3,4,5,0,2,0,8,0,0,7,0.096111,normal
270,8,201,2,2,0,0,2,0,3,5,5,0,3,0,8,0,0,8,0.012943,normal
630,27,443,10,5,0,0,1,0,3,5,11,0,4,0,29,1,0,29,0.166093,ironisch
403,6,312,3,0,0,1,1,0,7,0,10,0,4,0,21,1,0,15,0.021677,normal
981,22,726,8,10,1,3,7,4,17,13,14,2,6,0,30,0,0,32,0.281687,ironisch
460,8,339,4,3,0,1,4,2,5,5,6,1,4,0,14,0,0,17,0.465911,ironisch
1468,30,1110,16,16,2,1,1,0,21,12,25,1,10,0,58,4,1,46,0.030919,ironisch
354,5,263,6,0,0,3,1,0,6,2,11,0,2,0,16,2,2,9,0.019334,normal
2461,65,1724,53,39,1,0,22,15,38,13,38,1,18,0,112,8,3,63,0.189623,ironisch
1041,22,762,13,8,1,0,8,0,17,16,16,1,8,0,37,0,1,43,0.899395,ironisch
1507,35,1125,7,11,0,8,0,0,26,25,20,1,16,0,55,9,0,45,0.0269,normal
2776,37,1982,10,14,0,0,15,0,26,21,49,2,26,0,132,48,0,92,0.004672,normal
1103,19,779,6,8,0,1,5,4,21,21,18,3,8,0,48,3,0,42,0.028813,normal
149,6,104,4,1,0,0,0,0,3,2,1,0,0,0,7,2,0,3,0.400276,ironisch
1021,48,728,9,8,1,4,7,2,13,15,17,1,10,0,57,0,1,30,0.858811,ironisch
943,17,711,15,8,0,0,2,0,18,11,20,0,7,1,45,0,1,22,0.051217,normal
1956,60,1358,39,23,1,1,19,8,23,18,29,1,14,0,78,3,0,63,0.047291,normal
1584,30,1155,15,13,0,0,15,10,20,14,20,0,9,0,74,8,0,49,0.003504,ironisch
243,11,163,7,5,0,1,1,0,7,5,2,0,2,0,8,0,0,9,0.011876,normal
175,4,120,6,3,0,0,1,0,3,4,4,0,1,0,6,0,0,10,0.018243,normal
389,7,296,4,1,0,0,2,0,11,7,3,2,2,0,10,0,0,17,0.052692,normal
460,8,345,6,0,0,1,0,0,12,1,11,1,5,0,18,1,0,14,0.009219,normal
122,2,87,1,0,0,2,0,0,4,0,1,0,2,0,4,2,0,4,0.01378,normal
99,1,76,0,1,0,1,0,0,1,1,1,0,1,0,3,0,0,4,0.222214,ironisch
1327,11,1040,9,13,0,0,2,2,28,15,23,2,6,0,55,3,3,31,0.137692,ironisch
560,13,417,8,1,0,1,2,0,6,7,17,0,1,1,26,0,0,17,0.251867,ironisch
522,27,351,4,3,0,1,5,0,8,8,13,0,6,0,26,1,0,17,0.049425,ironisch
648,12,508,7,0,0,1,3,0,12,11,12,0,3,0,26,4,1,20,0.01712,normal
393,4,301,4,5,0,0,0,0,4,4,11,0,0,0,16,1,0,16,0.005738,normal
433,10,304,6,1,1,0,6,2,8,9,9,0,1,0,17,2,0,15,0.065991,ironisch
1734,25,1294,12,23,4,1,14,2,31,19,35,0,10,0,54,0,1,58,0.007046,ironisch
287,4,215,4,0,0,0,0,0,4,7,5,1,3,0,12,1,0,9,0.069003,normal
818,22,617,8,7,0,1,1,0,11,13,16,0,5,0,40,0,0,28,0.145094,ironisch
992,23,719,8,10,0,1,3,0,12,8,20,1,11,0,39,2,1,41,0.359461,ironisch
1582,65,1061,36,15,3,8,21,0,37,30,16,1,5,3,96,3,1,55,0.68896,ironisch
891,32,666,10,3,1,0,8,0,10,9,17,1,3,0,39,2,0,31,0.118171,ironisch
559,8,419,6,1,0,2,1,0,5,11,8,2,4,0,20,3,0,25,0.046885,normal
642,22,472,4,4,0,1,6,0,11,9,10,0,4,0,27,0,1,22,0.556709,ironisch
1031,16,790,8,3,1,1,3,0,14,9,15,0,6,0,40,1,0,34,0.008971,normal
2320,64,1709,25,27,1,0,12,2,42,31,56,1,17,0,113,5,3,74,0.011554,normal
806,14,600,7,5,1,1,10,0,11,14,15,2,4,0,31,0,0,30,0.038576,normal
2456,108,1827,19,23,0,0,13,2,41,19,48,0,12,0,131,2,1,59,0.005634,normal
843,27,616,7,2,1,0,2,0,14,13,18,1,7,0,25,9,2,34,0.007846,normal
321,18,218,9,2,0,1,0,0,6,4,9,0,3,0,19,0,0,8,0.02985,normal
346,14,253,2,3,0,1,1,0,5,3,5,1,3,0,18,0,0,9,0.036144,normal
171,4,122,4,0,0,0,0,0,2,1,3,0,0,0,6,1,0,10,0.325837,normal
1488,37,1081,22,15,0,1,6,0,20,23,29,1,11,0,51,3,0,67,0.02852,normal
347,9,251,6,2,0,0,1,0,2,6,10,0,2,0,13,1,0,12,0.03865,normal
573,6,428,7,4,0,2,0,0,5,6,11,1,7,0,23,2,0,20,0.015656,normal
529,11,411,5,1,0,0,1,0,8,9,6,0,3,0,18,0,1,18,0.091048,ironisch
2595,71,1919,27,28,3,0,17,4,48,37,44,1,11,0,101,2,1,79,0.467955,ironisch
674,17,486,8,5,0,0,5,0,10,11,7,2,2,0,16,1,0,30,0.015972,normal
234,8,173,5,4,0,0,0,0,4,2,5,0,0,0,12,0,0,6,0.005821,normal
743,14,548,10,9,0,0,7,4,11,4,13,0,7,0,32,1,0,19,0.008986,normal
405,8,305,6,5,0,0,0,0,8,6,9,0,2,0,14,0,0,12,0.062541,normal
150,4,115,0,0,0,0,0,0,3,4,3,0,1,0,6,0,0,6,0.164476,normal
2043,54,1480,42,9,0,1,7,4,26,22,43,1,17,1,82,8,1,76,0.006278,normal
167,9,119,1,1,0,1,1,0,4,1,5,0,0,0,12,0,0,3,0.60713,ironisch
3380,119,2371,23,25,1,0,52,44,42,26,57,0,24,0,179,15,2,64,0.003652,ironisch
1648,24,1265,13,2,0,0,6,6,33,19,43,1,11,0,62,0,1,59,0.023552,normal
852,38,610,9,13,0,0,0,0,11,7,15,0,6,0,40,2,0,31,0.009291,ironisch
1191,41,879,14,4,0,0,8,2,16,12,14,1,7,0,55,4,1,42,0.028419,ironisch
2769,72,2044,33,27,1,0,7,2,42,20,67,7,23,0,106,0,0,98,0.002517,normal
890,18,653,6,13,0,1,6,4,10,15,15,1,3,2,35,0,0,30,0.017484,ironisch
1189,29,873,7,16,1,0,7,0,13,21,22,2,9,0,49,7,0,35,0.00289,normal
4004,116,3012,36,25,0,0,12,0,57,29,68,0,32,0,203,5,1,108,0.029713,normal
329,14,233,3,2,0,1,0,0,4,6,3,0,3,0,9,0,0,14,0.211824,normal
484,8,353,5,1,0,2,6,0,5,4,13,1,4,0,23,1,0,16,0.038602,normal
593,35,430,8,3,0,1,1,0,6,12,10,0,2,0,24,1,0,23,0.058697,ironisch
106,5,77,1,0,0,1,0,0,3,0,3,0,0,0,7,0,1,2,0.006844,normal
916,23,667,8,11,0,0,3,0,19,15,20,1,8,0,37,4,2,24,0.007709,normal
2241,44,1595,55,33,8,0,9,0,38,31,41,0,9,0,93,5,3,74,0.160361,ironisch
280,12,198,3,1,0,1,0,0,5,2,5,0,2,0,11,0,0,11,0.039525,normal
845,25,631,5,4,0,1,3,0,14,15,16,0,7,0,43,3,1,25,0.014923,normal
694,18,536,6,1,0,0,3,0,12,4,12,0,4,0,30,0,0,24,0.008962,normal
1708,49,1273,22,12,0,0,3,0,36,18,39,3,16,0,79,3,3,47,0.088458,ironisch
494,7,375,4,2,0,1,0,0,9,4,13,0,5,0,18,1,0,23,0.041889,normal
1853,43,1386,12,13,4,0,4,0,18,23,27,0,26,0,90,4,0,54,0.008588,normal
713,11,551,7,1,0,0,2,2,6,6,16,1,3,0,36,1,0,23,0.050229,normal
291,9,203,4,2,0,0,3,0,1,6,6,0,3,0,7,0,0,17,0.03784,normal
132,2,95,2,1,0,0,1,0,2,2,2,0,0,0,5,0,0,4,0.033129,ironisch
247,4,187,1,2,0,1,0,0,3,2,6,0,2,0,12,0,0,5,0.048833,normal
7105,195,5189,90,72,2,0,22,0,119,84,173,9,52,1,346,15,4,225,0.000597,normal
1729,35,1291,13,30,1,0,13,6,24,20,26,1,11,1,72,4,1,38,0.009023,normal
1141,28,843,9,11,0,0,9,4,21,10,27,1,7,0,49,4,0,39,0.001955,normal
1212,30,941,13,4,0,0,0,0,21,14,22,0,6,0,57,0,1,27,0.59805,ironisch
662,20,474,7,7,0,1,3,2,8,6,12,0,8,0,32,3,0,17,0.02362,normal
943,34,697,8,4,0,2,4,0,13,10,22,0,8,0,45,3,0,28,0.005295,normal
244,2,184,5,0,0,2,0,0,9,5,6,0,4,0,9,0,2,8,0.023981,normal
1180,21,885,10,21,0,1,6,0,22,14,32,0,10,0,56,0,2,34,0.015342,normal
1604,54,1148,16,5,1,3,2,0,20,17,32,1,11,0,67,13,1,58,0.049992,ironisch
508,7,379,6,2,0,0,3,2,8,7,9,0,2,0,19,1,0,21,0.015087,normal
928,15,691,7,9,0,1,4,0,14,15,22,0,7,0,41,2,1,28,0.102371,ironisch
324,8,242,4,0,0,0,2,2,3,7,4,0,2,0,13,1,1,14,0.027885,ironisch
842,46,562,16,15,0,0,9,4,17,6,15,0,4,0,51,2,0,21,0.127492,normal
856,28,585,11,10,0,0,0,0,13,12,14,3,9,0,26,12,1,39,0.185662,normal
3781,94,2777,44,32,2,4,17,2,70,57,75,6,31,0,142,7,1,128,0.022857,normal
417,8,315,5,0,0,1,0,0,6,5,9,0,2,0,16,0,0,18,0.006525,ironisch
448,14,299,9,4,0,0,2,0,12,13,7,0,2,0,18,6,0,13,0.015557,normal
5612,174,3966,72,36,1,1,45,8,82,109,105,4,53,0,219,26,5,180,0.023854,normal
503,17,370,8,2,0,1,1,0,9,3,11,0,4,0,23,0,0,14,0.011078,normal
492,9,360,4,4,0,1,1,0,6,13,11,1,5,0,17,1,1,20,0.074548,normal
379,9,276,2,5,0,3,2,0,10,3,10,0,2,0,17,2,0,10,0.005815,normal
1993,51,1390,30,23,0,1,9,0,29,21,31,1,36,0,111,7,3,46,0.007802,normal
362,4,281,4,1,0,0,0,0,9,4,7,1,4,0,13,3,0,11,0.010405,normal
971,30,722,10,6,0,0,2,0,7,7,25,0,8,0,48,2,1,31,0.015401,normal
581,19,414,10,7,0,0,1,0,5,7,13,0,2,0,25,1,0,26,0.039119,normal
659,15,483,8,3,0,0,7,2,13,12,13,0,4,0,21,1,0,26,0.195285,normal
465,13,358,5,1,0,0,1,0,4,7,9,0,4,0,21,1,0,13,0.008347,normal
1016,20,784,14,11,0,2,1,0,30,6,17,0,7,1,35,2,1,21,0.029703,ironisch
602,16,435,10,8,3,1,1,0,9,9,8,2,4,0,26,0,0,15,0.108569,ironisch
239,5,181,5,0,0,0,0,0,2,1,6,0,2,0,11,1,0,9,0.004648,ironisch
256,22,176,4,0,0,0,2,2,1,2,6,0,2,0,18,0,0,7,0.051711,normal
289,9,211,4,3,0,0,0,0,11,2,8,0,2,0,17,1,0,5,0.037073,normal
2045,35,1527,15,22,1,2,18,10,26,23,43,0,7,0,87,3,3,61,0.011305,ironisch
